cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;8192;0;73728;306830;2793025;245713;491426;3345568;0;20803;6725067;2.4632191671399742e8;1.5738527e-2;3.301999638e0;1.837274e-3
1;20803;8192;0;52933;367036;3205433;293164;586328;3865633;0;8056;7725427;3.14918910169884e8;1.1597546e-2;3.776573049e0;1.1245303e-2
2;8056;8192;0;65619;345756;3046247;275905;551810;3667908;0;12016;7343824;3.191372149302375e8;1.765361e-2;3.512606461e0;9.29944e-3
3;12016;8192;0;61706;356636;3128730;285587;571174;3770953;0;10865;7544868;3.224676329969139e8;1.077767e-2;3.585530412e0;8.912596e-3
4;10865;8192;999;62984;350695;3083424;280041;560082;3714160;0;10388;7428011;3.288721564395779e8;1.1338784e-2;3.510797219e0;8.791935e-3
5;10388;8192;182;63281;354655;3125217;284084;568168;3763956;0;11108;7530476;3.2566565375645655e8;1.8045501e-2;3.54389552e0;9.147957e-3
6;11108;8192;464;62603;352105;3086088;281048;562096;3719241;0;10382;7437928;3.2399204996479505e8;1.0786828e-2;3.493157351e0;8.936955e-3
7;10382;8192;480;63347;349563;3062206;278847;557694;3690616;0;10725;7381270;3.1900429805872726e8;1.0861949e-2;3.455101744e0;8.971675e-3
8;10725;8192;574;62945;354230;3111928;283769;567538;3749927;0;10827;7502073;3.242819374492417e8;1.0821269e-2;3.508750364e0;8.962815e-3
9;10827;8192;522;62828;357256;3151025;286658;573316;3794939;0;10727;7589458;3.2785926921835023e8;1.0800948e-2;3.545954715e0;8.759864e-3
10;10727;8192;525;63029;352090;3099037;281542;563084;3732669;0;10875;7461432;3.1993033530218095e8;1.0811369e-2;3.486888705e0;1.8258863e-2
11;10875;8192;584;62907;355510;3134447;285236;570472;3775193;0;11116;7550263;3.2787473127802366e8;1.0887209e-2;3.537213321e0;8.841324e-3
12;11116;8192;729;62609;349480;3072968;279253;558506;3701701;0;10961;7404469;3.207007850112782e8;1.0816928e-2;3.455808169e0;8.947466e-3
13;10961;8192;725;62722;348823;3060361;278172;556344;3687356;0;10499;7373538;3.2408900753081214e8;1.1641095e-2;3.442064029e0;9.302638e-3
14;10499;8192;458;63200;353610;3111413;282968;565936;3747991;0;10791;7497738;3.254175680116639e8;1.0838959e-2;3.49433788e0;9.040265e-3
15;10791;8192;541;62896;350694;3080550;280423;560846;3711667;0;11067;7429238;3.18319665308691e8;1.0812749e-2;3.464106499e0;9.289097e-3
16;11067;8192;466;62662;357217;3145213;286461;572922;3788891;0;10699;7580483;3.269244769140702e8;1.0874629e-2;3.530788775e0;9.096536e-3
17;10699;8192;351;62974;351844;3086893;281154;562308;3719891;0;10824;7446124;3.2037571155283904e8;1.0749608e-2;3.469142306e0;8.766614e-3
18;10824;8192;659;62872;355728;3130857;285193;570386;3771778;0;10694;7541366;3.284650188946e8;1.0877319e-2;3.516084478e0;8.944245e-3
19;10694;8192;608;63143;353431;3102074;282755;565510;3738260;0;10745;7483297;3.222277213239981e8;1.0901289e-2;3.485255614e0;9.137536e-3
20;10745;8192;360;62813;356280;3132328;286061;572122;3774669;0;11171;7552102;3.262320257690887e8;1.0803489e-2;3.5227547059999997e0;9.304867e-3
21;11171;8192;540;62541;355977;3134364;285473;570946;3775814;0;10860;7549238;3.277431279041594e8;1.0774898e-2;3.519670504e0;9.221527e-3
22;10860;8192;376;62747;358560;3160927;287834;575668;3807321;0;10697;7617183;3.2921795375508595e8;1.0795368e-2;3.5447163760000002e0;9.034446e-3
23;10697;8192;356;63049;353503;3099581;282590;565180;3735674;0;10669;7473812;3.2547726818510365e8;1.0770098e-2;3.4844294319999998e0;9.181017e-3
24;10669;8192;537;63004;346573;3044187;276282;552564;3667042;0;11037;7340386;3.258005019065764e8;1.0861648e-2;3.431508262e0;9.343477e-3
25;11037;8192;452;62629;350286;3069560;279497;558994;3699343;0;10617;7399357;3.25389063314585e8;1.3530007e-2;3.454281645e0;9.134935e-3
26;10617;8192;518;63124;352069;3095650;281172;562344;3728891;0;10518;7459163;3.259918708107796e8;1.0878598e-2;3.474563481e0;9.147775e-3
27;10518;8192;384;63201;350925;3085121;280176;560352;3716222;0;10778;7431860;3.213820800704388e8;1.0856647e-2;3.4617913590000002e0;9.006695e-3
28;10778;8192;436;62986;346945;3036864;275929;551858;3659738;0;10504;7319478;3.174109585898249e8;1.0871378e-2;3.409441733e0;9.225427e-3
29;10504;8192;706;63302;347843;3049804;277428;554856;3675075;0;10877;7347603;3.195747475747829e8;1.0823718e-2;3.42704436e0;9.121025e-3
30;10877;8192;498;62856;355413;3127651;284669;569338;3767733;0;10683;7535807;3.2972775199894905e8;1.0860698e-2;3.510948382e0;9.006374e-3
31;10683;8192;445;63125;355522;3133504;284855;569710;3773881;0;10888;7547038;3.2121303335030824e8;1.0886068e-2;3.516694983e0;9.285907e-3
32;10888;8192;480;62773;354085;3116332;283480;566960;3753897;0;10768;7508754;3.281028114854361e8;1.0894118e-2;3.501730985e0;9.581869e-3
33;10768;8192;385;62883;353149;3112227;282661;565322;3748037;0;10970;7497589;3.2261792125778395e8;1.0879478e-2;3.494190512e0;9.124976e-3
34;10970;8192;672;62804;352171;3094466;281552;563104;3728189;0;10675;7457515;3.224545980932388e8;1.0855998e-2;3.4761907819999998e0;9.061425e-3
35;10675;8192;464;63001;346034;3035989;275333;550666;3657356;0;10703;7315499;3.181926268452404e8;1.0787407e-2;3.410638392e0;8.905254e-3
36;10703;8192;550;63036;356870;3143869;286362;572724;3787101;0;10873;7569822;3.257544528993775e8;1.0915489e-2;3.527240589e0;9.099995e-3
37;10873;8192;573;62889;353173;3111124;282646;565292;3746943;0;10854;7489696;3.277457560149623e8;1.0835448e-2;3.485880532e0;9.111325e-3
38;10854;8192;680;62739;354890;3126954;284626;569252;3766470;0;10841;7536383;3.245517435641127e8;1.0849358e-2;3.508761656e0;8.894713e-3
39;10841;8192;483;62942;352959;3103901;282130;564260;3738990;0;10663;7476868;3.2719201547256416e8;1.0833868e-2;3.479572526e0;8.979865e-3
40;10663;8192;638;63025;355880;3130676;285403;570806;3771959;0;10765;7544724;3.247267979580255e8;1.0886948e-2;3.512337402e0;9.094396e-3
41;10765;8192;688;63041;351648;3100256;281204;562408;3733108;0;10866;7472813;3.262557615576862e8;1.0911208e-2;3.479855325e0;9.058715e-3
42;10866;8192;769;62873;351929;3095805;281797;563594;3729531;0;11030;7458516;3.2579374659121317e8;1.0916169e-2;3.479875626e0;8.704042e-3
43;11030;8192;556;62647;352240;3092780;281340;562680;3726360;0;10413;7448971;3.253258201756011e8;1.0787558e-2;3.477345667e0;9.129465e-3
44;10413;8192;534;63400;355567;3129187;284895;569790;3769649;0;10799;7540501;3.243585429317913e8;1.1662324e-2;3.512315688e0;9.125636e-3
45;10799;8192;628;63053;353609;3120311;283380;566760;3757300;0;11187;7513124;3.2575979054088753e8;1.0889168e-2;3.502025175e0;8.980225e-3
46;11187;8192;511;62489;349843;3066925;279175;558350;3695943;0;10689;7392725;3.225316961563643e8;1.0908518e-2;3.4506841870000002e0;9.110115e-3
47;10689;8192;530;63055;355826;3142611;285691;571382;3784128;0;11271;7570746;3.309751244429236e8;1.0836437e-2;3.529003219e0;8.759863e-3
48;11271;8192;817;62439;355629;3131042;285549;571098;3772220;0;11005;7543901;3.307990814360706e8;1.0834378e-2;3.5050948870000003e0;8.994714e-3
49;11005;8192;578;62707;351934;3090011;281099;562198;3723044;0;10491;7445010;3.26851185242529e8;1.0838368e-2;3.47344411e0;8.933604e-3
