cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;8192;0;73728;306830;2793025;245713;491426;3345568;0;20803;6725067;2.4632191671399742e8;1.5913144e-2;2.34905488e-1;1.866913e-3
1;20803;8192;0;52933;367036;3205433;293164;586328;3865633;0;8056;7725427;3.14918910169884e8;1.0749146e-2;3.09179208e-1;1.1768604e-2
2;8056;8192;0;65619;345756;3046247;275905;551810;3667908;0;12016;7343824;3.191372149302375e8;1.0644836e-2;2.9262372e-1;1.0086252e-2
3;12016;8192;0;61706;356636;3128730;285587;571174;3770953;0;10865;7544868;3.224676329969139e8;1.0563376e-2;3.00431045e-1;1.0230873e-2
4;10865;8192;999;62984;350695;3083424;280041;560082;3714160;0;10388;7428011;3.288721564395779e8;1.1381091e-2;3.02005407e-1;1.0134503e-2
5;10388;8192;182;63281;354655;3125217;284084;568168;3763956;0;11108;7530476;3.256656537564566e8;1.1099719e-2;2.37894409e-1;1.0390794e-2
6;11108;8192;464;62603;352105;3086088;281048;562096;3719241;0;10382;7437928;3.2399204996479505e8;1.1407101e-2;2.35969855e-1;1.0051702e-2
7;10382;8192;480;63347;349563;3062206;278847;557694;3690616;0;10725;7381270;3.1900429805872726e8;1.114832e-2;2.38581713e-1;1.0713527e-2
8;10725;8192;574;62945;354230;3111928;283769;567538;3749927;0;10827;7502073;3.242819374492417e8;1.1475731e-2;2.38968387e-1;1.0519486e-2
9;10827;8192;522;62828;357256;3151025;286658;573316;3794939;0;10727;7589458;3.2785926921835023e8;1.113262e-2;2.44373975e-1;1.0561555e-2
10;10727;8192;525;63029;352090;3099037;281542;563084;3732669;0;10875;7461432;3.1993033530218095e8;1.1461572e-2;2.41927127e-1;1.0430795e-2
11;10875;8192;584;62907;355510;3134447;285236;570472;3775193;0;11116;7550263;3.2787473127802366e8;1.1906045e-2;2.22904611e-1;1.112625e-2
12;11116;8192;729;62609;349480;3072968;279253;558506;3701701;0;10961;7404469;3.207007850112782e8;1.1707044e-2;2.15156286e-1;1.0728317e-2
13;10961;8192;725;62722;348823;3060361;278172;556344;3687356;0;10499;7373538;3.2408900753081214e8;1.1694733e-2;2.156286e-1;1.0869988e-2
