cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;1048576;0;9437184;39357223;358011949;31481169;62962338;428850341;0;2609706;861568833;3.154202403034492e10;1.5965517949999999e0;5.2523634742e1;1.54753147e-1
1;2609706;1048576;0;6826914;47243177;412916683;37799876;75599752;497959736;0;1041895;995080873;4.1100180520616264e10;2.409597707e0;3.7021784683999996e1;7.25074506e-1
2;1041895;1048576;0;8395370;44762781;394824035;35814540;71629080;475401356;0;1537600;951229560;4.1501576944345055e10;2.268019129e0;3.3866667763e1;7.32053325e-1
3;1537600;1048576;0;7899881;45799301;402128395;36639560;73279120;484567256;0;1326316;968987077;4.1498134078163795e10;1.823630674e0;3.4561603442e1;7.41961889e-1
4;1326316;1048576;125452;8110162;44780542;393913213;35817459;71634918;474511214;0;1396519;949096274;4.1404024517708565e10;1.7401382330000001e0;3.3518737703e1;7.0848495e-1
5;1396519;1048576;51191;8040269;45254608;397787893;36196769;72393538;479239270;0;1376334;958500400;4.149543635367213e10;1.273026382e0;3.3524693099e1;6.81448657e-1
6;1376334;1048576;76742;8060717;45120250;396712928;36093331;72186662;477926509;0;1381966;955859769;4.14979721787939e10;1.489368491e0;3.4361447423e1;6.9979177e-1
7;1381966;1048576;68019;8055770;45255667;397964548;36214183;72428366;479434398;0;1376809;958904179;4.161772549273406e10;1.325792576e0;3.3822685577e1;6.78750333e-1
8;1376809;1048576;70580;8060162;45212841;397567655;36173633;72347266;478954129;0;1375759;957960804;4.155928803569109e10;1.330595793e0;3.383588505e1;6.89357203e-1
9;1375759;1048576;68506;8060778;45230372;397701635;36193150;72386300;479125157;0;1379385;958307735;4.148787218974884e10;1.472799409e0;3.4341614909e1;6.933715e-1
10;1379385;1048576;70593;8058644;45146165;396905990;36108675;72217350;478160830;0;1378522;956367446;4.141930270530829e10;1.444294194e0;3.4107748435e1;6.76887571e-1
11;1378522;1048576;70203;8059719;45208388;397553482;36173411;72346822;478935281;0;1381637;957876931;4.150778786249935e10;1.9394428559999999e0;3.4084961803e1;7.14940666e-1
12;1381637;1048576;68951;8055220;45235953;397752972;36197783;72395566;479186708;0;1378312;958371052;4.150211497279877e10;1.339876124e0;3.478158702e1;6.64161982e-1
13;1378312;1048576;72716;8058926;45179334;397260825;36145677;72291354;478585836;0;1379441;957173387;4.1499749486516685e10;1.8514714049999998e0;3.3295706632e1;7.9903493e-1
14;1379441;1048576;70630;8056822;45209692;397510513;36175612;72351224;478895817;0;1380129;957814106;4.146522241593423e10;1.746529921e0;3.2694653473e1;7.32668735e-1
15;1380129;1048576;71055;8055917;45163521;397147161;36130276;72260552;478440958;0;1380322;956860440;4.148782442647307e10;1.716999398e0;3.2538438613e1;7.35721141e-1
16;1380322;1048576;68886;8057904;45200424;397335160;36156248;72312496;478691832;0;1373740;957407788;4.146178043319414e10;1.5194567719999998e0;3.2469570434e1;7.44269632e-1
17;1373740;1048576;68741;8062719;45166400;397111857;36131054;72262108;478409311;0;1380948;956853520;4.1448035570806725e10;1.241048385e0;3.1946284745e1;7.01181827e-1
18;1380948;1048576;70073;8055808;45175284;397166578;36140365;72280730;478482227;0;1380340;956982613;4.1482083097548836e10;1.34986138e0;3.1198319165e1;6.87725195e-1
19;1380340;1048576;71764;8057664;45163579;397028903;36127052;72254104;478319534;0;1378289;956681251;4.1461428063376945e10;1.9066847249999999e0;3.382054158e1;7.36228957e-1
20;1378289;1048576;70197;8059434;45201851;397443705;36166071;72332142;478811627;0;1380322;957647027;4.151651781120125e10;1.551576489e0;3.0363243267e1;7.10129526e-1
21;1380322;1048576;69654;8056721;45156532;397030135;36121020;72242040;478307687;0;1380453;956606997;4.140921352858226e10;1.9323636130000001e0;3.3505894557e1;7.47798359e-1
22;1380453;1048576;69347;8056789;45247649;397901675;36212100;72424200;479361424;0;1380922;958794827;4.149540833038081e10;1.646216248e0;3.1153856684e1;7.12496169e-1
23;1380922;1048576;68706;8056426;45232793;397757893;36194592;72389184;479185278;0;1379017;958399245;4.155963736512567e10;1.912968781e0;3.3575568323e1;7.49713528e-1
24;1379017;1048576;69048;8058263;45175528;397138018;36139288;72278576;478452834;0;1380568;956953040;4.151988630555183e10;1.592447445e0;3.0508468039e1;7.10189623e-1
25;1380568;1048576;69135;8056706;45194808;397395705;36155866;72311732;478746379;0;1377773;957538979;4.152626896143291e10;1.9399035169999999e0;3.3638245282e1;7.45584419e-1
26;1377773;1048576;69409;8059082;45187602;397326008;36154536;72309072;478668146;0;1382956;957376600;4.1510803373011055e10;1.635122309e0;3.089763204e1;7.16581644e-1
27;1382956;1048576;69259;8053791;45157525;396878127;36117328;72234656;478152980;0;1375867;956337864;4.142456085920151e10;1.861572601e0;3.3607342945e1;8.02113069e-1
28;1375867;1048576;71639;8060874;45154740;397036304;36123130;72246260;478314174;0;1382068;956639628;4.1475275358443565e10;1.55905436e0;3.1783444418e1;6.81337429e-1
29;1382068;1048576;69157;8055076;45138139;396725705;36094351;72188702;477958195;0;1372775;955941727;4.142237501121661e10;1.8412819900000001e0;3.1287482515e1;7.50199906e-1
30;1372775;1048576;70709;8065712;45198859;397508091;36163036;72326072;478869986;0;1380531;957795578;4.149232876366036e10;1.466577014e0;3.1966690001e1;6.76265361e-1
31;1380531;1048576;69458;8056539;45252413;397850190;36212955;72425910;479315558;0;1376730;958628096;4.155160479657991e10;1.701054814e0;3.2789709303e1;7.30212239e-1
32;1376730;1048576;70683;8060596;45168408;397145287;36132234;72264468;478445929;0;1379045;956896096;4.142244879061312e10;1.732124349e0;3.2393213562e1;7.91070786e-1
33;1379045;1048576;70762;8056975;45167393;397097141;36137726;72275452;478402260;0;1384167;956858752;4.147480409956677e10;1.538610853e0;3.3003730627e1;7.19026181e-1
34;1384167;1048576;69336;8052935;45205738;397409342;36165038;72330076;478780118;0;1375642;957574709;4.148784841223249e10;1.8302929049999999e0;3.2872949848e1;7.97342756e-1
35;1375642;1048576;69474;8060093;45136548;396788047;36101535;72203070;478026130;0;1379824;956083066;4.140204489883525e10;1.841780001e0;3.135280715e1;8.54492146e-1
36;1379824;1048576;72358;8058672;45232319;397857466;36197699;72395398;479287484;0;1380094;958637212;4.152382260056241e10;1.7174575779999999e0;3.0492665883e1;7.12372042e-1
37;1380094;1048576;69176;8056855;45112421;396594595;36075821;72151642;477782837;0;1379749;955559195;4.140440335844027e10;1.299201263e0;3.0005527103e1;6.74013131e-1
38;1379749;1048576;71557;8057893;45239328;397823621;36204271;72408542;479267220;0;1379604;958554336;4.152547414682018e10;1.728549965e0;3.0783013033e1;8.36285104e-1
39;1379604;1048576;70093;8057921;45156547;397013700;36118295;72236590;478288542;0;1377756;956575266;4.146406507632594e10;1.796821078e0;2.9892727301e1;7.10807028e-1
40;1377756;1048576;71767;8060316;45183843;397272848;36151391;72302782;478608082;0;1382429;957241155;4.146872212140036e10;1.801978949e0;3.3714481619e1;7.23850351e-1
41;1382429;1048576;69163;8055284;45223985;397685765;36186983;72373966;479096733;0;1380124;958230252;4.1506431679442085e10;1.2619541779999999e0;3.0269848728e1;6.76640477e-1
42;1380124;1048576;69245;8056356;45241557;397858016;36204889;72409778;479304462;0;1379143;958656569;4.155186832316699e10;1.319684179e0;3.090418986e1;6.76228298e-1
43;1379143;1048576;70091;8057140;45193559;397334869;36161922;72323844;478690350;0;1383131;957427482;4.144110352087045e10;1.461097453e0;3.0112915586e1;7.44264164e-1
44;1383131;1048576;70285;8053819;45180254;397292990;36143828;72287656;478617072;0;1378815;957261888;4.148398222744389e10;1.552711592e0;3.0624198291e1;7.15147536e-1
45;1378815;1048576;70383;8058885;45224033;397687352;36191159;72382318;479102544;0;1383019;958249630;4.150805767627387e10;1.5404707960000001e0;3.0589951743e1;7.06225836e-1
46;1383019;1048576;69017;8051992;45191773;397396189;36160569;72321138;478748531;0;1383366;957505825;4.1554395116898506e10;1.585291628e0;3.0018945755e1;6.93468645e-1
47;1383366;1048576;72753;8055471;45219707;397586194;36181972;72363944;478987873;0;1376925;958029204;4.14926018628153e10;1.926150029e0;3.3401645999e1;7.37880963e-1
48;1376925;1048576;69567;8061736;45154224;396901860;36114328;72228656;478170412;0;1377774;956315757;4.143236471606521e10;1.945947195e0;3.3157117286e1;7.70068506e-1
49;1377774;1048576;69654;8058700;45195469;397328324;36158824;72317648;478682617;0;1378751;957416928;4.140496966516541e10;1.592003331e0;3.2953935318e1;7.11170723e-1
50;1378751;1048576;69675;8058279;45142045;396916949;36109473;72218946;478168467;0;1383359;956352395;4.143258773011342e10;1.544243243e0;2.9545132849e1;6.95068402e-1
51;1383359;1048576;72613;8053514;45197783;397455415;36163880;72327760;478817078;0;1378933;957689359;4.154170722431419e10;1.55657236e0;2.9611527774e1;6.84104026e-1
52;1378933;1048576;71734;8058279;45171786;397181177;36138737;72277474;478491700;0;1381005;957030202;4.148203463461054e10;1.653225054e0;2.9730283773e1;7.1378516e-1
53;1381005;1048576;70429;8056588;45138643;396836450;36103111;72206222;478078204;0;1380208;956174748;4.144431254313064e10;1.319861609e0;2.9997179253e1;6.81817788e-1
54;1380208;1048576;70269;8057052;45154281;396985378;36121865;72243730;478261524;0;1383151;956571526;4.151918176816188e10;1.25730613e0;2.9712294734e1;6.59049527e-1
55;1383151;1048576;71029;8054902;45155780;396968000;36113518;72227036;478237298;0;1373338;956483138;4.1437641154367546e10;1.291273803e0;2.9907150243e1;6.54195589e-1
56;1373338;1048576;70801;8064423;45165448;397139306;36129526;72259052;478434280;0;1379614;956911859;4.138789037405542e10;1.285332875e0;3.0355438256e1;6.49222879e-1
57;1379614;1048576;71726;8058814;45160514;397079033;36122411;72244822;478361958;0;1377175;956790945;4.1426931659599815e10;1.228294722e0;3.0098383283e1;6.59131338e-1
58;1377175;1048576;69728;8059809;45160280;397052183;36124851;72249702;478337314;0;1380403;956694022;4.1472082365503235e10;1.734286137e0;3.0448636723e1;7.38083365e-1
59;1380403;1048576;69424;8056376;45216449;397538607;36177622;72355244;478932678;0;1377104;957882631;4.1484764293873505e10;1.9427882090000002e0;3.0717990156e1;7.0557318e-1
60;1377104;1048576;69715;8061414;45186232;397333019;36151252;72302504;478670503;0;1382399;957387180;4.150061752924136e10;1.3666718740000001e0;3.0125816383e1;6.55387649e-1
61;1382399;1048576;69959;8055400;45149008;396929934;36112882;72225764;478191824;0;1380290;956388376;4.144312310380046e10;1.924718914e0;3.2992848194e1;7.59883294e-1
62;1380290;1048576;69710;8056385;45182196;397223991;36144713;72289426;478550900;0;1378058;957198345;4.1489311052474785e10;1.429302373e0;3.0388370754e1;6.67731656e-1
63;1378058;1048576;71637;8058993;45126521;396673794;36087597;72175194;477887912;0;1375066;955797028;4.143187130362542e10;1.909954384e0;3.3354980191e1;7.41214516e-1
64;1375066;1048576;73671;8063117;45152651;397049636;36121355;72242710;478323642;0;1381792;956646214;4.144564343614496e10;1.57735924e0;3.1207696636e1;6.88692452e-1
65;1381792;1048576;72613;8055374;45132239;396725712;36097788;72195576;477955739;0;1378678;955902721;4.141954762901132e10;1.5277725e0;3.2965934129e1;7.24026e-1
66;1378678;1048576;71960;8058806;45230729;397757546;36195102;72390204;479183377;0;1378473;958388754;4.1520690066813385e10;2.120165748e0;3.1125236961e1;7.63319778e-1
67;1378473;1048576;71870;8057840;45120227;396665316;36087587;72175174;477873130;0;1380379;955786570;4.142372571437706e10;1.5664692690000002e0;3.051654789e1;7.16168727e-1
68;1380379;1048576;70245;8056028;45170409;397183997;36136910;72273820;478491316;0;1381239;957011443;4.14592893125159e10;1.609222526e0;3.1498447988e1;7.14905317e-1
69;1381239;1048576;71124;8056995;45225002;397696918;36187801;72375602;479109721;0;1378485;958328586;4.148911309484225e10;1.581250566e0;3.4657685077e1;7.1532322e-1
70;1378485;1048576;69414;8057547;45142031;396899230;36100881;72201762;478142142;0;1374044;956300188;4.145240200012948e10;1.320296055e0;3.1443004127000002e1;6.5419446e-1
71;1374044;1048576;73331;8064431;45159862;397094767;36127888;72255776;478382517;0;1381746;956823937;4.145211799132112e10;1.222792697e0;3.1908008318e1;6.63362973e-1
72;1381746;1048576;69842;8056535;45157267;396948843;36118483;72236966;478224593;0;1378231;956521058;4.1469624877065605e10;1.535787512e0;3.1903125269e1;7.40638641e-1
73;1378231;1048576;70728;8059050;45228750;397743720;36192679;72385358;479165149;0;1379058;958385250;4.15419382820668e10;1.541850569e0;3.1280939683e1;7.08043705e-1
74;1379058;1048576;68409;8059059;45209005;397546932;36171071;72342142;478927008;0;1380350;957882508;4.150509694559904e10;2.409382947e0;3.1304195119e1;7.98162794e-1
75;1380350;1048576;68221;8057252;45168759;397118197;36129639;72259278;478416595;0;1378837;956857691;4.1443120901674255e10;1.557051268e0;3.1434435884e1;6.91135431e-1
76;1378837;1048576;71320;8057928;45150149;396991887;36117281;72234562;478259317;0;1381153;956507111;4.1454636763080986e10;1.549099445e0;3.1563846603000002e1;6.99233854e-1
77;1381153;1048576;69061;8055304;45256607;398017142;36220111;72440222;479493860;0;1379476;959031898;4.148896025164874e10;1.402701113e0;3.1870164866e1;7.23015242e-1
78;1379476;1048576;70225;8057755;45190984;397433963;36157639;72315278;478782586;0;1382237;957625288;4.150361314588997e10;1.219939444e0;3.1861529766e1;6.57050112e-1
79;1382237;1048576;71338;8055905;45171231;397138836;36135502;72271004;478445569;0;1379651;956935914;4.15241805669443e10;1.8036272690000001e0;3.2222256046e1;7.20754984e-1
80;1379651;1048576;69058;8055833;45187504;397285728;36152882;72305764;478626114;0;1380380;957316180;4.144162720840061e10;1.337456379e0;3.2719829366e1;6.90654467e-1
81;1380380;1048576;69727;8057633;45181930;397233469;36145158;72290316;478560557;0;1380090;957109475;4.148447757807455e10;1.8541460779999999e0;3.2889683084e1;7.21785071e-1
82;1380090;1048576;68651;8056415;45175202;397225844;36137909;72275818;478538955;0;1379137;957119948;4.1458814941108604e10;1.607200438e0;3.257995953e1;7.20709233e-1
83;1379137;1048576;69406;8058910;45201000;397505622;36162015;72324030;478868637;0;1378232;957778979;4.150988286241388e10;1.186032049e0;3.2744923506e1;6.4533217e-1
84;1378232;1048576;70216;8058937;45170340;397178742;36135635;72271270;478484717;0;1380824;957023928;4.145724154081044e10;1.932367352e0;3.2292395391e1;8.15707749e-1
85;1380824;1048576;69284;8056540;45222876;397696696;36187228;72374456;479106800;0;1381008;958287430;4.1519217264105415e10;1.5023745640000001e0;3.2329987876e1;6.65065905e-1
86;1381008;1048576;72139;8056660;45177188;397210048;36141422;72282844;478528658;0;1378339;957092880;4.149026479071656e10;1.56671388e0;3.2114586224e1;6.91046119e-1
87;1378339;1048576;70992;8060766;45156442;396987206;36116821;72233642;478260469;0;1377068;956584751;4.1427925039098305e10;2.34829215e0;3.2459985787e1;8.2602855e-1
88;1377068;1048576;70354;8059793;45169066;397096297;36128471;72256942;478393834;0;1374488;956782214;4.143594835246668e10;1.806840617e0;3.3588016753e1;7.33341362e-1
89;1374488;1048576;70593;8062681;45119492;396692464;36084247;72168494;477896203;0;1379907;955830600;4.138037766204305e10;1.239668027e0;3.3229179642e1;6.54025817e-1
90;1379907;1048576;68896;8058182;45186678;397368030;36147982;72295964;478702690;0;1379073;957459923;4.146227106831839e10;2.094771743e0;3.6488267751e1;7.84386281e-1
91;1379073;1048576;69146;8058080;45201057;397437043;36166857;72333714;478804957;0;1382383;957637266;4.150390632898859e10;1.446648693e0;3.3291395141e1;6.49634332e-1
92;1382383;1048576;67969;8055184;45180273;397212083;36142335;72284670;478534691;0;1380236;957065353;4.150405414518017e10;1.635806939e0;3.3451970662e1;6.99178181e-1
