cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;4096;0;36864;154707;1408830;124185;248370;1687722;0;10438;3392593;1.2434066346454558e8;1.3985298e-2;4.313593943e0;1.052447e-3
1;10438;4096;0;26438;183799;1605682;146693;293386;1936174;0;3866;3865559;1.585038206459971e8;9.195992e-3;5.086640306e0;6.56694e-3
2;3866;4096;0;33010;171783;1512653;136828;273656;1821264;0;6017;3648944;1.564037900756888e8;6.883219e-3;4.7513793589999995e0;1.4027636e-2
3;6017;4096;0;30841;178809;1566842;143287;286574;1888938;0;5432;3779548;1.6381325306493533e8;5.741573e-3;4.956434529e0;6.321038e-3
4;5432;4096;380;31492;178066;1570321;142603;285206;1890990;0;5177;3782522;1.647084253432655e8;6.614022e-3;4.955808332e0;6.707686e-3
5;5177;4096;48;31693;176614;1553914;141209;282418;1871737;0;5513;3746309;1.590727062910639e8;6.375053e-3;4.890525105e0;6.330476e-3
6;5513;4096;190;31329;177471;1559110;141882;283764;1878463;0;5159;3756829;1.6134272158124864e8;6.407191e-3;4.907386363e0;6.370198e-3
7;5159;4096;217;31719;173108;1517303;137766;275532;1828177;0;5415;3656578;1.5746420304338545e8;6.467604e-3;4.79429674e0;6.419944e-3
8;5415;4096;385;31411;177985;1565481;142784;285568;1886250;0;5336;3775419;1.6259137883372286e8;6.589861e-3;4.934652585e0;6.423335e-3
9;5336;4096;256;31490;181277;1602776;146073;292146;1930126;0;5462;3861393;1.6199767508352512e8;6.449839e-3;5.038730845e0;6.342002e-3
10;5462;4096;288;31415;177409;1563137;142357;284714;1882903;0;5633;3765652;1.630466060298295e8;6.423613e-3;4.911996955e0;6.338526e-3
11;5633;4096;317;31280;179148;1583128;143899;287798;1906175;0;5443;3812234;1.6460892591548467e8;6.921522e-3;4.990401504e0;6.341402e-3
12;5443;4096;322;31457;174239;1531458;139131;278262;1844828;0;5566;3691209;1.5909916239126897e8;6.463749e-3;4.832644745e0;6.385367e-3
13;5566;4096;372;31297;175457;1541523;140260;280520;1857240;0;5390;3714748;1.6231244195634532e8;6.548074e-3;4.8949420660000005e0;6.356951e-3
14;5390;4096;388;31511;178713;1580814;143676;287352;1903203;0;5572;3806125;1.6642583000233504e8;6.835242e-3;4.970135563e0;6.352507e-3
15;5572;4096;281;31275;174212;1528725;139086;278172;1842023;0;5536;3687297;1.6046812767980102e8;6.437448e-3;4.828911576e0;6.357119e-3
16;5536;4096;257;31328;179009;1576929;143682;287364;1899620;0;5376;3799640;1.636497563069888e8;6.497079e-3;4.966547996e0;6.345944e-3
17;5376;4096;156;31460;174456;1531470;138851;277702;1844777;0;5171;3692319;1.5694585427842772e8;6.414672e-3;4.826658647e0;6.338351e-3
18;5171;4096;342;31681;175928;1547630;140753;281506;1864311;0;5431;3727856;1.616424707964427e8;6.425738e-3;4.877026876e0;6.347858e-3
19;5431;4096;325;31532;178796;1570020;143375;286750;1892191;0;5313;3786618;1.6269143856047863e8;6.502862e-3;4.95088008e0;6.32776e-3
20;5313;4096;138;31425;178599;1570774;143525;287050;1892898;0;5622;3788937;1.629920093009181e8;6.470914e-3;4.963622664e0;6.334295e-3
21;5622;4096;260;31238;181015;1597124;145806;291612;1923945;0;5487;3848780;1.659108452999678e8;6.418431e-3;5.037578728e0;6.353197e-3
22;5487;4096;170;31356;179509;1579514;143942;287884;1902965;0;5202;3805903;1.667455500115326e8;6.412487e-3;4.980058698e0;6.350847e-3
23;5202;4096;152;31707;176106;1542067;140405;280810;1858578;0;5152;3715906;1.6036596485870007e8;6.587923e-3;4.853613203e0;6.324078e-3
24;5152;4096;265;31655;173607;1525073;138533;277066;1837213;0;5564;3673520;1.6001768932724127e8;6.483765e-3;4.805497257e0;6.363384e-3
25;5564;4096;221;31274;176311;1549811;140940;281880;1867062;0;5342;3733424;1.612602191219513e8;6.429758e-3;4.895524889e0;6.347212e-3
26;5342;4096;265;31549;175451;1542608;139911;279822;1857970;0;5182;3716006;1.6241677884548718e8;6.472394e-3;4.862262437e0;6.296622e-3
27;5182;4096;128;31729;173314;1521723;137756;275512;1832793;0;5321;3664389;1.5987724419833836e8;6.491082e-3;4.794179962e0;6.319769e-3
28;5321;4096;194;31562;172238;1503259;136762;273524;1812259;0;5309;3623972;1.574406659839418e8;6.451174e-3;4.746214922e0;6.386313e-3
29;5309;4096;387;31627;174372;1531529;139240;278480;1845141;0;5513;3690592;1.6044290970856792e8;6.449003e-3;4.845292999e0;6.331263e-3
30;5513;4096;239;31313;177381;1559018;142031;284062;1878430;0;5333;3758904;1.6585527880724034e8;6.896641e-3;4.93117771e0;6.355541e-3
31;5333;4096;302;31521;179739;1584830;144555;289110;1909124;0;5464;3817046;1.6184307537970912e8;6.434288e-3;4.998478053e0;6.255842e-3
32;5464;4096;285;31402;181105;1596372;145895;291790;1923372;0;5467;3847960;1.6963588034013957e8;6.488653e-3;5.01740854e0;6.372854e-3
33;5467;4096;196;31391;179591;1588209;144546;289092;1912346;0;5713;3828630;1.660243205336069e8;6.434748e-3;5.012726342e0;6.360915e-3
34;5713;4096;347;31125;178181;1567319;142895;285790;1888395;0;5301;3775631;1.6395740298041427e8;6.530542e-3;4.946530675e0;6.410483e-3
35;5301;4096;241;31505;172988;1522038;138058;276116;1833084;0;5731;3668072;1.5937879284032938e8;6.436346e-3;4.799324813e0;6.324684e-3
36;5731;4096;205;31059;179622;1581412;144158;288316;1905192;0;5217;3807947;1.64271538647967e8;6.41042e-3;4.981658271e0;6.334396e-3
37;5217;4096;230;31688;177518;1565099;142383;284766;1885000;0;5636;3768882;1.6303999045653382e8;6.456911e-3;4.928390345e0;6.340413e-3
