cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;4096;0;36864;154707;1408830;124185;248370;1687722;0;10438;3392593;1.2434066346454567e8;1.5139378e-2;1.068915233e0;1.034474e-3
1;10438;4096;0;26438;183799;1605682;146693;293386;1936174;0;3866;3865559;1.585038206459969e8;9.653968e-3;1.347993781e0;6.972982e-3
2;3866;4096;0;33010;171783;1512653;136828;273656;1821264;0;6017;3648944;1.5640379007568875e8;6.350547e-3;1.146995671e0;6.869285e-3
3;6017;4096;0;30841;178809;1566842;143287;286574;1888938;0;5432;3779548;1.6381325306493524e8;6.133471e-3;1.185693266e0;6.782635e-3
4;5432;4096;380;31492;178066;1570321;142603;285206;1890990;0;5177;3782522;1.647084253432656e8;6.624277e-3;1.183049647e0;6.764562e-3
5;5177;4096;48;31693;176614;1553914;141209;282418;1871737;0;5513;3746309;1.5907270629106373e8;6.573446e-3;1.172418575e0;6.808418e-3
6;5513;4096;190;31329;177471;1559110;141882;283764;1878463;0;5159;3756829;1.613427215812487e8;8.343415e-3;1.175339801e0;9.191193e-3
7;5159;4096;217;31719;173108;1517303;137766;275532;1828177;0;5415;3656578;1.5746420304338524e8;6.637189e-3;1.14521542e0;6.682071e-3
8;5415;4096;385;31411;177985;1565481;142784;285568;1886250;0;5336;3775419;1.6259137883372268e8;6.654259e-3;1.179381665e0;6.694531e-3
9;5336;4096;256;31490;181277;1602776;146073;292146;1930126;0;5462;3861393;1.619976750835251e8;6.633727e-3;1.208336326e0;6.901956e-3
10;5462;4096;288;31415;177409;1563137;142357;284714;1882903;0;5633;3765652;1.6304660602982953e8;6.597052e-3;1.176575648e0;7.181174e-3
11;5633;4096;317;31280;179148;1583128;143899;287798;1906175;0;5443;3812234;1.646089259154846e8;6.643441e-3;1.201868982e0;6.653229e-3
12;5443;4096;322;31457;174239;1531458;139131;278262;1844828;0;5566;3691209;1.5909916239126894e8;6.869052e-3;1.159340529e0;6.676825e-3
13;5566;4096;372;31297;175457;1541523;140260;280520;1857240;0;5390;3714748;1.6231244195634526e8;6.619162e-3;1.161252314e0;6.671787e-3
14;5390;4096;388;31511;178713;1580814;143676;287352;1903203;0;5572;3806125;1.6642583000233492e8;6.599287e-3;1.189821e0;6.907164e-3
15;5572;4096;281;31275;174212;1528725;139086;278172;1842023;0;5536;3687297;1.6046812767980108e8;6.839621e-3;1.156116892e0;1.0178206e-2
16;5536;4096;257;31328;179009;1576929;143682;287364;1899620;0;5376;3799640;1.636497563069885e8;6.747831e-3;1.1894941430000001e0;6.770781e-3
17;5376;4096;156;31460;174456;1531470;138851;277702;1844777;0;5171;3692319;1.5694585427842778e8;6.699857e-3;1.162611081e0;6.789647e-3
