cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;4096;0;36864;154707;1408830;124185;248370;1687722;0;10438;3392593;0e0;1.4533764e-2;1.28442608e0;1.058371e-3
1;10438;4096;0;26438;183799;1605682;146693;293386;1936174;0;3866;3865559;0e0;9.6501e-3;1.487568335e0;6.724601e-3
2;3866;4096;0;33010;171783;1512653;136828;273656;1821264;0;6017;3648944;0e0;5.970145e-3;1.396300269e0;6.401396e-3
3;6017;4096;0;30841;178809;1566842;143287;286574;1888938;0;5432;3779548;0e0;5.810692e-3;1.450895594e0;6.500973e-3
4;5432;4096;380;31492;178066;1570321;142603;285206;1890990;0;5177;3782522;0e0;2.3463002e-2;1.456329697e0;6.69216e-3
5;5177;4096;48;31693;176614;1553914;141209;282418;1871737;0;5513;3746309;0e0;6.492434e-3;1.438538433e0;6.454698e-3
6;5513;4096;190;31329;177471;1559110;141882;283764;1878463;0;5159;3756829;0e0;6.865391e-3;1.448361745e0;6.379238e-3
7;5159;4096;217;31719;173108;1517303;137766;275532;1828177;0;5415;3656578;0e0;6.54392e-3;1.403514331e0;6.362349e-3
8;5415;4096;385;31411;177985;1565481;142784;285568;1886250;0;5336;3775419;0e0;7.377881e-3;1.447053677e0;1.4602416e-2
9;5336;4096;256;31490;181277;1602776;146073;292146;1930126;0;5462;3861393;0e0;6.618719e-3;1.4829088480000001e0;6.713378e-3
10;5462;4096;288;31415;177409;1563137;142357;284714;1882903;0;5633;3765652;0e0;6.594957e-3;1.44891691e0;6.420222e-3
11;5633;4096;317;31280;179148;1583128;143899;287798;1906175;0;5443;3812234;0e0;6.554858e-3;1.463901931e0;6.577616e-3
12;5443;4096;322;31457;174239;1531458;139131;278262;1844828;0;5566;3691209;0e0;6.659988e-3;1.503032205e0;6.489117e-3
13;5566;4096;372;31297;175457;1541523;140260;280520;1857240;0;5390;3714748;0e0;6.751115e-3;1.427874332e0;6.889212e-3
14;5390;4096;388;31511;178713;1580814;143676;287352;1903203;0;5572;3806125;0e0;6.540518e-3;1.4610641549999999e0;6.459286e-3
15;5572;4096;281;31275;174212;1528725;139086;278172;1842023;0;5536;3687297;0e0;6.499372e-3;1.4139247959999999e0;6.390829e-3
16;5536;4096;257;31328;179009;1576929;143682;287364;1899620;0;5376;3799640;0e0;6.597223e-3;1.460927784e0;6.699341e-3
17;5376;4096;156;31460;174456;1531470;138851;277702;1844777;0;5171;3692319;0e0;6.659224e-3;1.41644363e0;6.516177e-3
18;5171;4096;342;31681;175928;1547630;140753;281506;1864311;0;5431;3727856;0e0;6.671322e-3;1.432862143e0;6.421094e-3
19;5431;4096;325;31532;178796;1570020;143375;286750;1892191;0;5313;3786618;0e0;6.786839e-3;1.453966982e0;6.740803e-3
20;5313;4096;138;31425;178599;1570774;143525;287050;1892898;0;5622;3788937;0e0;6.578586e-3;1.45395492e0;6.421727e-3
21;5622;4096;260;31238;181015;1597124;145806;291612;1923945;0;5487;3848780;0e0;6.505728e-3;1.477172882e0;6.357326e-3
22;5487;4096;170;31356;179509;1579514;143942;287884;1902965;0;5202;3805903;0e0;6.729583e-3;1.46087796e0;8.680741e-3
23;5202;4096;152;31707;176106;1542067;140405;280810;1858578;0;5152;3715906;0e0;6.52759e-3;1.4252088569999999e0;6.465363e-3
24;5152;4096;265;31655;173607;1525073;138533;277066;1837213;0;5564;3673520;0e0;6.677978e-3;1.409818239e0;6.675975e-3
25;5564;4096;221;31274;176311;1549811;140940;281880;1867062;0;5342;3733424;0e0;7.228445e-3;1.437680811e0;6.34335e-3
26;5342;4096;265;31549;175451;1542608;139911;279822;1857970;0;5182;3716006;0e0;6.564685e-3;1.424861573e0;6.387239e-3
27;5182;4096;128;31729;173314;1521723;137756;275512;1832793;0;5321;3664389;0e0;6.503296e-3;1.414378524e0;6.397579e-3
28;5321;4096;194;31562;172238;1503259;136762;273524;1812259;0;5309;3623972;0e0;6.524141e-3;1.390111037e0;6.406077e-3
29;5309;4096;387;31627;174372;1531529;139240;278480;1845141;0;5513;3690592;0e0;6.550571e-3;1.416322911e0;6.356282e-3
30;5513;4096;239;31313;177381;1559018;142031;284062;1878430;0;5333;3758904;0e0;6.702349e-3;1.443420943e0;6.943529e-3
31;5333;4096;302;31521;179739;1584830;144555;289110;1909124;0;5464;3817046;0e0;6.57963e-3;1.465328691e0;6.461828e-3
32;5464;4096;285;31402;181105;1596372;145895;291790;1923372;0;5467;3847960;0e0;6.60283e-3;1.477993981e0;6.427827e-3
33;5467;4096;196;31391;179591;1588209;144546;289092;1912346;0;5713;3828630;0e0;6.577009e-3;1.470302242e0;6.370039e-3
