cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;4096;0;36864;154707;1408830;124185;248370;1687722;0;10438;3392593;1.2434066346454562e8;6.981426e-3;2.619447375e0;1.044935e-3
1;10438;4096;0;26438;183799;1605682;146693;293386;1936174;0;3866;3865559;1.5850382064599705e8;5.72374e-3;3.141689235e0;4.601429e-3
2;3866;4096;0;33010;171783;1512653;136828;273656;1821264;0;6017;3648944;1.56403790075689e8;4.632101e-3;2.875539569e0;4.318566e-3
3;6017;4096;0;30841;178809;1566842;143287;286574;1888938;0;5432;3779548;1.6381325306493518e8;4.459629e-3;3.013033704e0;4.328622e-3
4;5432;4096;380;31492;178066;1570321;142603;285206;1890990;0;5177;3782522;1.6470842534326535e8;5.109595e-3;3.020712878e0;4.335653e-3
5;5177;4096;48;31693;176614;1553914;141209;282418;1871737;0;5513;3746309;1.5907270629106367e8;5.094186e-3;2.990666344e0;4.270376e-3
6;5513;4096;190;31329;177471;1559110;141882;283764;1878463;0;5159;3756829;1.6134272158124864e8;5.100745e-3;3.006487028e0;4.323531e-3
7;5159;4096;217;31719;173108;1517303;137766;275532;1828177;0;5415;3656578;1.5746420304338542e8;5.1401e-3;2.9220323009999998e0;4.305636e-3
8;5415;4096;385;31411;177985;1565481;142784;285568;1886250;0;5336;3775419;1.625913788337228e8;5.14772e-3;3.008126326e0;4.28007e-3
9;5336;4096;256;31490;181277;1602776;146073;292146;1930126;0;5462;3861393;1.6199767508352512e8;5.095631e-3;3.111017174e0;4.364298e-3
10;5462;4096;288;31415;177409;1563137;142357;284714;1882903;0;5633;3765652;1.6304660602982947e8;5.092054e-3;3.007340568e0;4.425979e-3
11;5633;4096;317;31280;179148;1583128;143899;287798;1906175;0;5443;3812234;1.6460892591548482e8;5.281125e-3;3.051026736e0;4.288848e-3
12;5443;4096;322;31457;174239;1531458;139131;278262;1844828;0;5566;3691209;1.5909916239126894e8;5.107758e-3;2.958892653e0;4.451269e-3
13;5566;4096;372;31297;175457;1541523;140260;280520;1857240;0;5390;3714748;1.6231244195634523e8;5.171945e-3;2.953817026e0;4.280009e-3
14;5390;4096;388;31511;178713;1580814;143676;287352;1903203;0;5572;3806125;1.6642583000233498e8;5.098135e-3;3.027538436e0;4.336688e-3
15;5572;4096;281;31275;174212;1528725;139086;278172;1842023;0;5536;3687297;1.6046812767980096e8;5.105804e-3;2.941433763e0;4.395247e-3
16;5536;4096;257;31328;179009;1576929;143682;287364;1899620;0;5376;3799640;1.6364975630698875e8;5.198506e-3;3.024655544e0;4.270935e-3
17;5376;4096;156;31460;174456;1531470;138851;277702;1844777;0;5171;3692319;1.5694585427842778e8;5.255723e-3;2.946666233e0;4.450752e-3
18;5171;4096;342;31681;175928;1547630;140753;281506;1864311;0;5431;3727856;1.616424707964427e8;5.086114e-3;2.9684397750000002e0;4.324868e-3
19;5431;4096;325;31532;178796;1570020;143375;286750;1892191;0;5313;3786618;1.6269143856047875e8;5.178378e-3;3.020510254e0;4.319772e-3
20;5313;4096;138;31425;178599;1570774;143525;287050;1892898;0;5622;3788937;1.6299200930091813e8;5.024089e-3;3.018324011e0;4.283727e-3
21;5622;4096;260;31238;181015;1597124;145806;291612;1923945;0;5487;3848780;1.6591084529996789e8;5.352299e-3;3.085794577e0;4.301204e-3
22;5487;4096;170;31356;179509;1579514;143942;287884;1902965;0;5202;3805903;1.6674555001153255e8;5.120498e-3;3.058062724e0;4.423627e-3
23;5202;4096;152;31707;176106;1542067;140405;280810;1858578;0;5152;3715906;1.603659648587003e8;5.319339e-3;2.962205172e0;4.292072e-3
24;5152;4096;265;31655;173607;1525073;138533;277066;1837213;0;5564;3673520;1.6001768932724136e8;5.122766e-3;2.920719345e0;4.283197e-3
25;5564;4096;221;31274;176311;1549811;140940;281880;1867062;0;5342;3733424;1.6126021912195155e8;5.37839e-3;2.992440568e0;4.385829e-3
26;5342;4096;265;31549;175451;1542608;139911;279822;1857970;0;5182;3716006;1.6241677884548724e8;5.127242e-3;2.9347435170000002e0;4.342184e-3
27;5182;4096;128;31729;173314;1521723;137756;275512;1832793;0;5321;3664389;1.5987724419833842e8;5.138712e-3;2.913049e0;4.242383e-3
28;5321;4096;194;31562;172238;1503259;136762;273524;1812259;0;5309;3623972;1.5744066598394182e8;5.108972e-3;2.895773109e0;4.289075e-3
29;5309;4096;387;31627;174372;1531529;139240;278480;1845141;0;5513;3690592;1.6044290970856792e8;5.123434e-3;2.977125732e0;4.319439e-3
30;5513;4096;239;31313;177381;1559018;142031;284062;1878430;0;5333;3758904;1.6585527880724037e8;5.871177e-3;3.027825039e0;5.292544e-3
31;5333;4096;302;31521;179739;1584830;144555;289110;1909124;0;5464;3817046;1.6184307537970912e8;5.150623e-3;3.063626593e0;4.418477e-3
32;5464;4096;285;31402;181105;1596372;145895;291790;1923372;0;5467;3847960;1.6963588034013966e8;5.132102e-3;3.081823592e0;4.48283e-3
33;5467;4096;196;31391;179591;1588209;144546;289092;1912346;0;5713;3828630;1.6602432053360704e8;5.103189e-3;3.065902748e0;4.333114e-3
34;5713;4096;347;31125;178181;1567319;142895;285790;1888395;0;5301;3775631;1.639574029804144e8;5.111266e-3;3.026939549e0;4.366283e-3
35;5301;4096;241;31505;172988;1522038;138058;276116;1833084;0;5731;3668072;1.5937879284032932e8;5.692674e-3;2.939440576e0;4.474562e-3
36;5731;4096;205;31059;179622;1581412;144158;288316;1905192;0;5217;3807947;1.6427153864796686e8;5.152731e-3;3.063844232e0;4.418829e-3
37;5217;4096;230;31688;177518;1565099;142383;284766;1885000;0;5636;3768882;1.630399904565338e8;5.273353e-3;3.010698143e0;4.45058e-3
38;5636;4096;521;31188;180086;1591099;145183;290366;1916368;0;5496;3833707;1.6614963974144933e8;5.302549e-3;3.05454201e0;4.423519e-3
39;5496;4096;213;31404;173443;1522488;137873;275746;1833804;0;5213;3665837;1.5966409442523894e8;5.178206e-3;2.927576625e0;4.347036e-3
40;5213;4096;343;31700;178820;1574126;143553;287106;1896499;0;5399;3794493;1.6422138305900022e8;5.251413e-3;3.022241101e0;4.449538e-3
41;5399;4096;386;31505;175714;1550747;140532;281064;1866993;0;5432;3737988;1.6259969893771982e8;5.245102e-3;2.988607092e0;4.3923e-3
42;5432;4096;221;31399;174836;1537749;139681;279362;1852266;0;5551;3702314;1.6135465396014932e8;5.181299e-3;2.963553308e0;4.805345e-3
43;5551;4096;247;31251;178224;1565668;142746;285492;1886638;0;5173;3772382;1.6436467821760112e8;5.156881e-3;3.01137503e0;7.449139e-3
44;5173;4096;372;31705;177880;1565700;142840;285680;1886420;0;5562;3772357;1.6126689315319324e8;7.914106e-3;3.017211681e0;4.41291e-3
45;5562;4096;379;31386;173702;1525163;138321;276642;1837186;0;5284;3674183;1.599018794952051e8;5.142248e-3;2.943737585e0;4.31055e-3
46;5284;4096;162;31574;173931;1526315;138663;277326;1838909;0;5524;3679423;1.6088590306974214e8;5.389545e-3;2.951142565e0;4.43847e-3
47;5524;4096;233;31300;178337;1574932;143390;286780;1896659;0;5740;3793935;1.658816409455142e8;5.165705e-3;3.04316568e0;4.474496e-3
48;5740;4096;352;31165;179189;1580306;144120;288240;1903615;0;5580;3807683;1.671494273363125e8;5.242747e-3;3.053024427e0;4.538136e-3
49;5580;4096;158;31320;177513;1560070;141974;283948;1879557;0;5299;3759743;1.6486935606194225e8;5.073006e-3;3.018508993e0;4.338313e-3
50;5299;4096;261;31427;173660;1532157;138865;277730;1844682;0;5766;3689838;1.627445919864631e8;5.134964e-3;2.954434458e0;4.40435e-3
51;5766;4096;189;31094;174731;1532209;138972;277944;1845912;0;5008;3689013;1.6151805287141797e8;5.141735e-3;2.963325535e0;4.387007e-3
52;5008;4096;300;31845;177070;1563622;141945;283890;1882637;0;5524;3768442;1.616342344207281e8;5.079633e-3;3.007272951e0;4.428467e-3
53;5524;4096;337;31388;177652;1562744;142475;284950;1882871;0;5494;3764836;1.6569027587975907e8;5.294899e-3;3.0136427e0;4.479936e-3
54;5494;4096;189;31370;177177;1559866;142009;284018;1879052;0;5603;3755707;1.6491560105863732e8;5.179263e-3;2.979860727e0;4.288964e-3
55;5603;4096;384;31291;172302;1505238;136899;273798;1814439;0;5203;3629702;1.6074987463309738e8;5.167221e-3;2.923776436e0;4.404218e-3
56;5203;4096;299;31690;174862;1536091;139654;279308;1850607;0;5482;3701094;1.6291284809717894e8;5.157049e-3;2.96033574e0;4.421644e-3
57;5482;4096;301;31400;175027;1535588;139798;279596;1850413;0;5448;3700005;1.6069814415929377e8;5.25466e-3;2.968204328e0;4.333518e-3
58;5448;4096;319;31447;176320;1549585;140980;281960;1866885;0;5332;3734455;1.621477388454926e8;5.168857e-3;2.988831448e0;4.334056e-3
59;5332;4096;251;31507;174207;1528915;138916;277832;1842038;0;5393;3685143;1.597203723597337e8;5.13854e-3;2.9452372049999997e0;4.3423e-3
60;5393;4096;267;31516;177923;1563878;142621;285242;1884422;0;5436;3768709;1.6333537230846274e8;5.142183e-3;3.015152878e0;4.334389e-3
61;5436;4096;169;31497;171256;1496699;135534;271068;1803489;0;5138;3607648;1.6000810720838234e8;5.104552e-3;2.886956273e0;4.375829e-3
62;5138;4096;229;31769;174340;1531734;138805;277610;1844879;0;5239;3686863;1.6144315455265966e8;5.25617e-3;2.949186847e0;4.393138e-3
63;5239;4096;152;31612;174504;1529983;139180;278360;1843667;0;5471;3687268;1.5745071565576673e8;5.156977e-3;2.963096166e0;4.330411e-3
