cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;4096;0;36864;154616;1407976;124091;248182;1686683;0;10435;3390445;1.2426277e8;1.091201e-2;4.078240261e0;5.27621e-4
1;10435;4096;0;26437;183856;1606694;146783;293566;1937333;0;3895;3868029;1.5829061e8;7.309687e-3;4.800134597e0;5.347431e-3
2;3895;4096;0;32975;172102;1516272;137125;274250;1825499;0;5989;3657361;1.5651082e8;4.99201e-3;4.499554088e0;5.128314e-3
3;5989;4096;0;30869;178852;1567404;143357;286714;1889613;0;5459;3781194;1.639288e8;5.006796e-3;4.666008113e0;5.197264e-3
4;5459;4096;393;31458;177792;1566823;142314;284628;1886929;0;5142;3774340;1.6453533e8;5.28167e-3;4.650213755e0;5.125065e-3
5;5142;4096;52;31730;176292;1550310;140878;281756;1867480;0;5502;3737691;1.5855877e8;5.25513e-3;4.607395831e0;5.213242e-3
6;5502;4096;191;31351;177521;1560112;141924;283848;1879557;0;5161;3758999;1.6148309e8;5.232949e-3;4.6338714880000005e0;5.108407e-3
7;5161;4096;217;31720;172987;1515776;137636;275272;1826399;0;5409;3652945;1.5722378e8;5.274773e-3;4.501994639e0;5.088598e-3
8;5409;4096;389;31417;177877;1564376;142669;285338;1884922;0;5325;3772810;1.6263058e8;5.356809e-3;4.648324325e0;5.133794e-3
9;5325;4096;256;31501;181597;1606214;146387;292774;1934198;0;5456;3869652;1.6205608e8;5.300855e-3;4.76574765e0;5.089082e-3
10;5456;4096;275;31417;177141;1560390;142086;284172;1879617;0;5639;3758985;1.6284144e8;5.253809e-3;4.633925174e0;5.097454e-3
11;5639;4096;321;31279;179460;1586362;144210;288420;1910032;0;5443;3819915;1.6502744e8;5.257245e-3;4.713558036e0;5.098732e-3
12;5443;4096;318;31455;174436;1533854;139333;278666;1847623;0;5573;3696958;1.5917589e8;5.238564e-3;4.562930344e0;5.089736e-3
13;5573;4096;381;31292;175408;1540745;140183;280366;1856336;0;5355;3713164;1.6228094e8;5.287471e-3;4.576610108e0;5.087292e-3
14;5355;4096;381;31544;178806;1581565;143769;287538;1904140;0;5577;3808441;1.663966e8;5.563879e-3;4.693429373e0;5.110168e-3
15;5577;4096;271;31263;174620;1532890;139460;278920;1846970;0;5505;3697646;1.6050946e8;5.252725e-3;4.570211394e0;5.108359e-3
16;5505;4096;255;31357;178982;1576445;143627;287254;1899054;0;5348;3798299;1.6332123e8;5.255777e-3;4.688005292e0;5.127461e-3
17;5348;4096;147;31505;174065;1527800;138439;276878;1840304;0;5176;3683386;1.5638379e8;5.224209e-3;4.551297735e0;5.158364e-3
18;5176;4096;342;31674;175870;1547409;140716;281432;1863995;0;5450;3727028;1.6170962e8;5.256995e-3;4.600767853e0;5.134958e-3
